Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            143:0 -> 128:0
 24:0   Control change          0, controller 1, value 63
 24:0   Control change          0, controller 1, value 62
 24:0   Control change          0, controller 1, value 61
 24:0   Control change          0, controller 1, value 60
 24:0   Control change          0, controller 1, value 59
 24:0   Pitch bend              0, value 128
 24:0   Pitch bend              0, value 256
 24:0   Pitch bend              0, value 384
 24:0   Pitch bend              0, value 512
 24:0   Pitch bend              0, value 640
 24:0   Pitch bend              0, value 768
 24:0   Pitch bend              0, value 896
 24:0   Pitch bend              0, value 1024
 24:0   Pitch bend              0, value 1152
 24:0   Pitch bend              0, value 1280
 24:0   Pitch bend              0, value 1408
 24:0   Pitch bend              0, value 1536
 24:0   Pitch bend              0, value 1664
 24:0   Pitch bend              0, value 1792
 24:0   Pitch bend              0, value 1920
 24:0   Pitch bend              0, value 2048
 24:0   Pitch bend              0, value 2176
 24:0   Pitch bend              0, value 2304
 24:0   Pitch bend              0, value 2432
 24:0   Pitch bend              0, value 2560
 24:0   Pitch bend              0, value 2688
 24:0   Pitch bend              0, value 2816
 24:0   Pitch bend              0, value 2944
 24:0   Pitch bend              0, value 3072
 24:0   Pitch bend              0, value 3200
 24:0   Pitch bend              0, value 3328
 24:0   Pitch bend              0, value 3456
 24:0   Pitch bend              0, value 3584
 24:0   Pitch bend              0, value 3712
 24:0   Pitch bend              0, value 3840
 24:0   Pitch bend              0, value 3968
 24:0   Pitch bend              0, value 4096
 24:0   Pitch bend              0, value 4224
 24:0   Pitch bend              0, value 4352
 24:0   Pitch bend              0, value 4480
 24:0   Pitch bend              0, value 4608
 24:0   Pitch bend              0, value 4736
 24:0   Pitch bend              0, value 4608
 24:0   Pitch bend              0, value 4480
 24:0   Pitch bend              0, value 4352
 24:0   Pitch bend              0, value 4224
 24:0   Pitch bend              0, value 4096
 24:0   Pitch bend              0, value 3968
 24:0   Pitch bend              0, value 3840
 24:0   Pitch bend              0, value 3712
 24:0   Pitch bend              0, value 3584
 24:0   Pitch bend              0, value 3456
 24:0   Pitch bend              0, value 3328
 24:0   Pitch bend              0, value 3200
 24:0   Pitch bend              0, value 3072
 24:0   Pitch bend              0, value 2944
 24:0   Pitch bend              0, value 2816
 24:0   Pitch bend              0, value 2688
 24:0   Pitch bend              0, value 2560
 24:0   Pitch bend              0, value 2432
 24:0   Pitch bend              0, value 2304
 24:0   Pitch bend              0, value 2176
 24:0   Pitch bend              0, value 2048
 24:0   Pitch bend              0, value 1920
 24:0   Pitch bend              0, value 1792
 24:0   Pitch bend              0, value 1664
 24:0   Pitch bend              0, value 1536
 24:0   Pitch bend              0, value 1408
 24:0   Pitch bend              0, value 1280
 24:0   Pitch bend              0, value 1152
 24:0   Pitch bend              0, value 1024
 24:0   Pitch bend              0, value 896
 24:0   Pitch bend              0, value 768
 24:0   Pitch bend              0, value 640
 24:0   Pitch bend              0, value 512
 24:0   Pitch bend              0, value 384
 24:0   Pitch bend              0, value 256
 24:0   Pitch bend              0, value 128
 24:0   Pitch bend              0, value 0
 24:0   Pitch bend              0, value -128
 24:0   Pitch bend              0, value -256
 24:0   Pitch bend              0, value -384
 24:0   Pitch bend              0, value -512
 24:0   Pitch bend              0, value -640
 24:0   Pitch bend              0, value -768
 24:0   Pitch bend              0, value -896
 24:0   Pitch bend              0, value -1024
 24:0   Pitch bend              0, value -1152
 24:0   Pitch bend              0, value -1280
 24:0   Pitch bend              0, value -1408
 24:0   Pitch bend              0, value -1536
 24:0   Pitch bend              0, value -1664
 24:0   Pitch bend              0, value -1792
 24:0   Pitch bend              0, value -1920
 24:0   Pitch bend              0, value -2048
 24:0   Pitch bend              0, value -2176
 24:0   Pitch bend              0, value -2304
 24:0   Pitch bend              0, value -2432
 24:0   Pitch bend              0, value -2560
 24:0   Pitch bend              0, value -2688
 24:0   Pitch bend              0, value -2816
 24:0   Pitch bend              0, value -2944
 24:0   Pitch bend              0, value -3072
 24:0   Pitch bend              0, value -3200
 24:0   Pitch bend              0, value -3328
 24:0   Pitch bend              0, value -3456
 24:0   Pitch bend              0, value -3328
 24:0   Pitch bend              0, value -3200
 24:0   Pitch bend              0, value -3072
 24:0   Pitch bend              0, value -2944
 24:0   Pitch bend              0, value -2816
 24:0   Pitch bend              0, value -2688
 24:0   Pitch bend              0, value -2560
 24:0   Pitch bend              0, value -2432
 24:0   Pitch bend              0, value -2304
 24:0   Pitch bend              0, value -2176
 24:0   Pitch bend              0, value -2048
 24:0   Pitch bend              0, value -1920
 24:0   Pitch bend              0, value -1792
 24:0   Pitch bend              0, value -1664
 24:0   Pitch bend              0, value -1536
 24:0   Pitch bend              0, value -1408
 24:0   Pitch bend              0, value -1280
 24:0   Pitch bend              0, value -1152
 24:0   Pitch bend              0, value -1024
 24:0   Pitch bend              0, value -896
 24:0   Pitch bend              0, value -768
 24:0   Pitch bend              0, value -640
 24:0   Pitch bend              0, value -512
 24:0   Pitch bend              0, value -384
 24:0   Pitch bend              0, value -256
 24:0   Pitch bend              0, value -128
 24:0   Pitch bend              0, value 0
